State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
New York State,31449815,161666,203885,27238541,140018,25485292,165218,14338520,73.7,13402291,86.9,12888887,66.3,12069221,78.2,18201735,11778280,1469800,0,1163583,9904411,16160121,10426,4578648,7199397,1108167,2675,4576721,6382623,1107374,2503,11787410,73.7,13402291,86.9,60.6,10968499,71.1,14338520,3100753,94.1,2807503,85.2,1326470,1310454,175279,1133,6189148,187769,954139,14336657,85.5,12888079,76.8,4578469,7198924,1108025,2661,27235921,162377,187500,569132,4.4,568188,4.7,476111,7.9,342969,12.2,N/A,N/A,N/A,N/A
Ohio,16011445,136978,175736,12768269,109232,12044397,132195,6495059,55.6,6114996,67.1,6034821,51.6,5697589,62.5,8905965,6358280,747200,0,511054,4792186,7448300,16729,2230656,3303072,496518,4575,2230157,2966649,496297,4486,5544138,55.6,6114996,67.1,47.4,5207110,57.2,6495059,1800748,88,1722550,84.2,778323,857020,87334,2282,3853116,188295,782451,6494808,64.9,6034725,60.3,2230650,3302993,496507,4575,12767998,127671,160103,480842,8,479927,8.4,418483,12.6,334696,19.4,N/A,N/A,N/A,N/A
Oklahoma,5281030,133461,175757,4412151,111503,4140117,137787,2332252,58.9,2184008,72.7,1966699,49.7,1844646,61.4,2730030,2288000,263000,0,124482,1771729,2515068,872,779196,1063728,123642,133,778942,942033,123552,119,1844146,58.9,2184008,72.7,46.6,1722180,57.3,2332252,605117,95.3,518602,81.7,265272,239076,20181,35,1216221,191491,831485,2332004,70.1,1966627,59.1,779179,1063688,123627,133,4411869,132679,158817,166458,8.5,166245,9,138333,13.7,103032,19.9,N/A,N/A,N/A,N/A
Oregon,7126045,168954,212643,5543220,131426,5178686,154533,2871840,68.1,2678952,79.9,2639950,62.6,2469933,73.7,3934605,2813340,378100,0,230197,2013510,3294922,4591,944301,1468757,225810,1082,941474,1302440,225006,1013,2417158,68.1,2678952,79.9,57.3,2247934,67.1,2871840,708656,92.5,668752,87.3,301925,316664,50540,474,1468590,191702,930196,2863765,78.5,2634207,72.2,944297,1463025,225807,1078,5529177,151577,195354,224369,8.5,224077,9.1,177470,14,138372,20.7,N/A,N/A,N/A,N/A
Pennsylvania,20498415,160119,201610,17296417,135107,16271792,160039,9814654,76.7,9238726,90.9,7702328,60.2,7264136,71.4,11069235,8239380,1189800,0,672577,6651540,9971188,1112,2887192,4140314,674286,536,2884709,3705125,673805,497,7030921,76.7,9238726,90.9,54.9,6593182,64.8,9814654,2830855,99.9,2158528,90.2,1011364,1060548,89026,246,5164303,215776,856469,9810888,88.5,7700664,69.5,2887049,4138860,674219,536,17291027,156035,184978,359909,4.7,359203,4.9,295981,7.1,217612,10.1,N/A,N/A,N/A,N/A
Puerto Rico,4994730,156394,190569,4962813,155394,4574611,174539,2612115,81.8,2403397,91.7,2340029,73.3,2158706,82.4,2737410,2061120,196200,0,134988,1943680,2883713,432,894636,1311264,134067,62,894228,1130522,133897,59,2206432,81.8,2403397,91.7,69.1,2025277,77.3,2612115,631725,92.9,567498,83.5,279352,265489,22872,14,1238908,182285,734891,2610815,91.7,2339625,82.1,894571,1310975,134017,62,4961157,174180,175359,128581,5.5,128232,5.9,94478,8.4,59988,10.6,N/A,N/A,N/A,N/A
Rhode Island,1796815,169613,210187,1538896,145266,1437008,168097,822076,77.6,766393,89.7,747507,70.6,698145,81.7,1012275,705740,78800,0,55054,566243,916651,948,269224,423436,54621,226,269133,374189,54599,224,693803,77.6,766393,89.7,65.5,644463,75.4,822076,193358,99.9,178562,95.5,80764,91673,6336,77,401357,214577,960627,821934,88.6,747455,80.6,269219,423391,54620,225,1538762,165906,193729,56884,7.6,56762,8.1,48915,13.1,38229,21.4,N/A,N/A,N/A,N/A
Republic of Palau,33090,184788,237255,31592,176423,28960,207643,17945,99.9,16594,99.9,15680,87.6,14394,99.9,6390,22900,3800,0,2333,24625,4634,0,11611,1731,2338,0,11611,445,2338,0,13343,99.9,16594,99.9,74.5,12057,86.4,17945,1788,58.9,1712,56.4,1466,19,227,0,3634,119776,1090640,17945,99.9,15680,99.9,11611,1731,2338,0,31592,206592,216388,564,3.6,564,3.9,539,9.7,412,24.1,N/A,N/A,N/A,N/A
South Carolina,7409435,143908,183514,5624217,109235,5314317,131623,2941868,57.1,2771190,68.6,2555460,49.6,2413837,59.8,3910755,3137680,361000,0,185890,2128856,3307958,1513,945212,1427250,182707,291,943226,1288201,182121,289,2374849,57.1,2771190,68.6,46.1,2233809,55.3,2941868,873932,93.3,773731,82.6,328299,417513,29141,178,1797885,191872,790742,2936915,66.4,2552600,57.8,945126,1424520,182663,291,5616312,127067,167635,239606,9.4,239311,9.9,208130,14.4,169088,21.9,N/A,N/A,N/A,N/A
South Dakota,1295605,146452,194081,1003861,113474,939578,140749,541352,61.2,505005,75.6,462162,52.2,434631,65.1,688185,537020,70400,0,32628,387497,583610,126,179953,249425,32762,22,179893,221979,32737,22,429512,61.2,505005,75.6,48.6,402005,60.2,541352,151948,99.9,133142,87.7,66795,62148,4496,15,298333,196438,853096,541296,73.3,462146,62.6,179951,249413,32760,22,1003804,135998,175532,36881,8,36854,8.5,31467,12.7,24395,18.3,N/A,N/A,N/A,N/A
Tennessee,9163910,134188,172282,7338536,107459,6970121,131039,3706432,54.3,3505218,65.9,3238309,47.4,3078063,57.9,5194530,3554380,415000,0,214357,2742125,4349028,33026,1194104,1829059,206773,8373,1193612,1669643,206511,8297,3035513,54.3,3505218,65.9,44.4,2875474,54.1,3706432,992980,86.8,911200,79.7,450990,424411,33643,4562,2174468,190177,801466,3705679,63.5,3238122,55.5,1194084,1828940,206727,8371,7337640,125740,157035,319956,9.9,319224,10.4,262829,14.9,197086,21.6,N/A,N/A,N/A,N/A
Texas,43892075,151373,203241,34033731,117374,31260148,144749,17703799,61.1,16219695,75.1,15385308,53.1,14177941,65.7,24877095,16867280,2147700,0,1270606,12700511,20060207,2407,5607700,8596230,1181127,251,5603838,7394132,1179737,234,14221672,61.1,16219695,75.1,49,13015640,60.3,17703799,3363693,90.1,3038467,81.4,5500240,7130969,1141957,154,7080163,189602,1175400,17697573,73.4,15383185,63.8,5607178,8594893,1180864,250,34025606,141179,182116,1172076,7.6,1168654,8.2,910592,13.6,610829,20.1,N/A,N/A,N/A,N/A
Utah,4280270,133510,188162,3651697,113903,3307633,145405,1947672,60.8,1763453,77.5,1703471,53.1,1547875,68,2517930,1567540,194800,0,150465,1318569,2182411,252,597195,958217,148053,6,596811,803178,147880,6,1556645,60.8,1763453,77.5,48.6,1401207,61.6,1947672,351566,96.1,313151,85.6,133601,164651,15877,1,726982,198698,1169880,1946990,75.1,1703134,65.7,597161,957949,148018,6,3650706,140831,165118,100269,5.9,99913,6.5,81454,12.4,65361,20.9,N/A,N/A,N/A,N/A
Virginia,13619725,159565,204051,11552062,135341,10679593,160002,6027385,70.6,5569324,83.4,5354009,62.7,4952889,74.2,7954605,5053820,611300,0,410097,4052436,7082858,6671,1857104,3093533,400767,2605,1851570,2699635,399232,2452,4960621,70.6,5569324,83.4,58.1,4561022,68.3,6027385,1314048,96.7,1184047,87.1,555037,562745,68939,815,2701976,198835,1002260,6009006,82.2,5341923,73.1,1856934,3081718,400672,2599,11520589,157666,186394,407142,7.6,406433,8.2,330831,13.1,242586,20.5,N/A,N/A,N/A,N/A
Veterans Health,6699540,N/A,N/A,5944123,N/A,5941090,N/A,3070127,N/A,3068416,N/A,2855615,N/A,2854263,N/A,2949960,3190480,559100,0,219439,2940358,2783955,371,1403202,1233753,218651,9,1403142,1232501,218611,9,2637253,N/A,3068416,N/A,0,2635941,0,3070127,1546700,0,1467983,0,802294,593396,72292,1,3130565,0,0,3070029,0,2855541,0,1403180,1233708,218644,9,5943958,0,0,229640,8,229639,8,222614,9.9,185101,12.6,N/A,N/A,N/A,N/A
Virgin Islands,115260,110107,141366,108001,103173,102723,125989,55573,53.1,52688,64.6,48753,46.6,46388,56.9,83280,30480,1500,0,1501,28619,77881,0,12932,34370,1448,3,12907,32036,1442,3,47310,53.1,52688,64.6,45.2,44951,55.1,55573,15113,85.2,13715,77.3,5081,8194,449,3,29752,167740,649828,55507,62.1,48725,54.5,12924,34353,1445,3,107908,120709,128933,2370,4.9,2369,5.1,2052,7.2,1455,10.6,N/A,N/A,N/A,N/A
Vermont,1133310,181623,222225,958888,153671,896799,175848,494518,79.3,461237,90.4,442686,70.9,413375,81.1,600210,470900,62200,0,44803,364942,548312,831,165190,233897,43345,254,165146,204721,43271,237,399796,79.3,461237,90.4,64.1,370544,72.7,494518,131506,99.9,121066,96.8,58295,60341,2370,150,293665,234859,906365,494099,89.7,442647,80.3,165183,233881,43329,254,958464,173966,205701,47863,10.8,47807,11.6,41422,17.5,33607,27.8,N/A,N/A,N/A,N/A
Washington,12154955,159621,204222,10183333,133729,9496862,159562,5259266,69.1,4899786,82.3,4813112,63.2,4493268,75.5,6917835,4629920,607200,0,407140,3758826,6009698,7669,1756124,2648794,405745,2449,1755414,2330005,405448,2401,4412777,69.1,4899786,82.3,57.9,4093199,68.8,5259266,1154276,95.4,1082170,89.5,493621,533462,55887,1322,2458483,203227,1004770,5258333,80.9,4812832,74,1756068,2648598,405719,2447,10182266,156628,186973,392391,8.2,391540,8.7,320323,14.6,243139,22.5,N/A,N/A,N/A,N/A
Wisconsin,8072765,138649,177196,7222746,124050,6782286,148870,3632209,62.4,3399318,74.6,3379016,58,3175249,69.7,4578165,3133300,361300,0,281061,2700994,4239558,1133,1254674,1850464,273443,435,1254361,1647214,273254,420,3108304,62.4,3399318,74.6,53.4,2904705,63.8,3632209,974540,95.8,931410,91.6,448039,455469,28860,185,2149598,211316,793593,3631650,72.6,3378820,67.6,1254658,1850302,273425,435,7222232,144451,161462,335581,9.9,335183,10.6,274692,15.2,212426,22.8,N/A,N/A,N/A,N/A
West Virginia,3123975,174315,218066,1587605,88587,1513587,105655,875356,48.8,831554,58,734407,41,702686,49.1,1748895,1243580,131500,0,42182,703486,841521,416,319142,370788,44220,257,318839,339462,44152,233,690317,48.8,831554,58,38.5,658658,46,875356,295029,80.4,263146,71.7,133881,122515,6863,106,568264,154836,851194,874722,56.1,734104,47.1,319053,370588,44206,257,1586642,101849,200533,42329,5.8,42283,6,34521,7.6,24319,9.2,N/A,N/A,N/A,N/A
Wyoming,717185,123918,161156,561249,96975,532012,119547,292154,50.5,275844,62,252583,43.6,239723,53.9,352785,325300,39100,0,24475,242586,293675,513,106495,123074,22926,88,106476,110258,22903,86,229851,50.5,275844,62,39.7,217013,48.8,292154,85256,86,78150,78.8,39818,34873,3594,39,176074,177532,723122,292114,59.5,252572,51.5,106494,123066,22924,88,561207,114364,146149,25422,10.1,25370,10.6,21665,15.3,16684,21.3,N/A,N/A,N/A,N/A
